Rid,name,minAmount,address
1,Realmix,34.74,3 Meadow Valley Lane
2,Tagchat,32.40,75 Sloan Court
3,Trudoo,27.56,3723 Morning Drive
4,Tagfeed,30.07,75 Glendale Center
5,Meejo,22.33,05905 Eastwood Circle
6,Gabvine,27.94,65 Mcbride Junction
7,Jabberbean,39.19,81 Anzinger Parkway
8,Blogtags,21.23,1404 Main Way
9,Voomm,24.38,70 American Hill
10,Brainverse,41.73,7626 Pond Terrace
11,Bubbletube,32.97,30364 Thierer Park
12,Twitterworks,29.40,159 Anthes Terrace
13,Tavu,20.10,9 Union Crossing
14,Blogtags,47.04,9 Lakeland Crossing
15,Mydo,27.90,75328 Burrows Circle
16,Quinu,34.40,3285 Anderson Crossing
17,Centidel,36.55,46644 Eagan Alley
18,Quatz,21.94,95131 Lillian Crossing
19,Realbridge,37.93,06 Shoshone Avenue
20,Brainbox,29.36,36911 Kensington Parkway
